ma_don,san_pham,so_luong,don_gia,kenh,tinh_tp,ngay,thanh_tien
DH00206,Chuột,5,250000,Online,Hà Nội,2024-06-09,1250000
DH00861,Màn hình,3,3200000,Online,Bình Dương,2024-12-04,9600000
DH00675,Webcam,3,890000,Online,Đồng Nai,2024-08-29,2670000
DH00802,Tai nghe,4,690000,Online,Cần Thơ,2024-09-26,2760000
DH00486,Tai nghe,1,690000,Cửa hàng,Đồng Nai,2024-05-20,690000
DH00896,Webcam,4,890000,Online,Khánh Hòa,2024-02-20,3560000
DH00015,Tai nghe,5,690000,Online,Lâm Đồng,2024-12-15,3450000
DH00543,Chuột,1,250000,Cửa hàng,Lâm Đồng,2024-11-07,250000
DH00062,Màn hình,2,3200000,Online,Bình Dương,2024-09-15,6400000
DH00366,Bàn phím,2,450000,Online,Hà Nội,2024-02-23,900000
DH00182,Bàn phím,2,450000,Online,Khánh Hòa,2024-12-17,900000
DH00858,Tai nghe,4,690000,Cửa hàng,Khánh Hòa,2024-12-19,2760000
DH00084,Ổ cứng SSD,2,1450000,Online,Cần Thơ,2024-05-13,2900000
DH00125,Tai nghe,2,690000,Online,Khánh Hòa,2024-02-25,1380000
DH00458,Tai nghe,1,690000,Online,Cần Thơ,2024-06-24,690000
DH00400,Bàn phím,3,450000,Cửa hàng,TP. Hồ Chí Minh,2024-01-06,1350000
DH00288,Bàn phím,5,450000,Cửa hàng,Không rõ,2024-08-29,2250000
DH00562,Chuột,3,250000,Cửa hàng,Không rõ,2024-11-08,750000
DH00078,Bàn phím,5,450000,Online,Cần Thơ,2024-01-11,2250000
DH00185,Webcam,2,890000,Online,Hà Nội,2024-10-27,1780000
DH00692,Tai nghe,1,690000,Online,Lâm Đồng,2024-09-16,690000
DH00056,Webcam,1,890000,Cửa hàng,Lâm Đồng,2024-01-25,890000
DH00589,Ổ cứng SSD,3,1450000,Online,Lâm Đồng,2024-07-15,4350000
DH00553,Bàn phím,1,450000,Online,Hà Nội,2024-10-14,450000
DH00789,Tai nghe,3,690000,Cửa hàng,Cần Thơ,2024-02-10,2070000
DH00166,Chuột,1,250000,Online,Cần Thơ,2024-01-25,250000
DH00849,Ổ cứng SSD,2,1450000,Online,Cần Thơ,2024-08-19,2900000
DH00733,Webcam,3,890000,Online,Không rõ,2024-02-05,2670000
DH00268,Webcam,4,890000,Online,TP. Hồ Chí Minh,2024-09-14,3560000
DH00116,Ổ cứng SSD,3,1450000,Online,Không rõ,2024-02-22,4350000
DH00171,Ổ cứng SSD,4,1450000,Online,Hà Nội,2024-02-06,5800000
DH00311,Bàn phím,2,450000,Online,Khánh Hòa,2024-12-29,900000
DH00608,Chuột,4,250000,Online,Đà Nẵng,2024-12-23,1000000
DH00199,Chuột,3,250000,Cửa hàng,Đồng Nai,2024-11-12,750000
DH00747,Màn hình,2,3200000,Online,Không rõ,2024-10-01,6400000
DH00617,Màn hình,4,3200000,Online,TP. Hồ Chí Minh,2024-05-29,12800000
DH00737,Tai nghe,1,690000,Online,Cần Thơ,2024-02-29,690000
DH00219,Chuột,5,250000,Cửa hàng,Cần Thơ,2024-10-23,1250000
DH00212,Chuột,2,250000,Online,Cần Thơ,2024-06-09,500000
DH00703,Tai nghe,3,690000,Online,Đồng Nai,2024-08-06,2070000
DH00715,Ổ cứng SSD,1,1450000,Online,Bình Dương,2024-11-07,1450000
DH00732,Ổ cứng SSD,2,1450000,Cửa hàng,Cần Thơ,2024-12-09,2900000
DH00504,Tai nghe,5,690000,Online,Đà Nẵng,2024-05-12,3450000
DH00055,Bàn phím,1,450000,Online,Bình Dương,2024-10-19,450000
DH00588,Tai nghe,4,690000,Online,Hà Nội,2024-12-08,2760000
DH00596,Chuột,4,250000,Online,Cần Thơ,2024-04-26,1000000
DH00894,Ổ cứng SSD,1,1450000,Online,Bình Dương,2024-03-17,1450000
DH00511,Bàn phím,5,450000,Cửa hàng,Bình Dương,2024-11-23,2250000
DH00523,Ổ cứng SSD,4,1450000,Cửa hàng,Đồng Nai,2024-01-22,5800000
DH00522,Tai nghe,1,690000,Cửa hàng,Đà Nẵng,2024-09-23,690000
DH00621,Chuột,4,250000,Online,TP. Hồ Chí Minh,2024-10-24,1000000
DH00330,Màn hình,1,3200000,Online,Cần Thơ,2024-07-28,3200000
DH00663,Ổ cứng SSD,1,1450000,Online,TP. Hồ Chí Minh,2024-02-15,1450000
DH00709,Ổ cứng SSD,1,1450000,Cửa hàng,TP. Hồ Chí Minh,2024-11-02,1450000
DH00406,Màn hình,4,3200000,Cửa hàng,Bình Dương,2024-10-21,12800000
DH00398,Tai nghe,1,690000,Online,Lâm Đồng,2024-02-17,690000
DH00685,Tai nghe,2,690000,Cửa hàng,Đà Nẵng,2024-05-24,1380000
DH00557,Ổ cứng SSD,4,1450000,Online,TP. Hồ Chí Minh,2024-03-09,5800000
DH00148,Chuột,5,250000,Online,Đồng Nai,2024-06-20,1250000
DH00280,Chuột,3,250000,Online,Đồng Nai,2024-03-16,750000
DH00255,Ổ cứng SSD,4,1450000,Online,Cần Thơ,2024-10-16,5800000
DH00354,Tai nghe,4,690000,Online,Hà Nội,2024-08-01,2760000
DH00555,Màn hình,5,3200000,Online,TP. Hồ Chí Minh,2024-09-10,16000000
DH00054,Màn hình,1,3200000,Online,TP. Hồ Chí Minh,2024-07-02,3200000
DH00393,Chuột,2,250000,Online,Cần Thơ,2024-05-25,500000
DH00540,Màn hình,3,3200000,Cửa hàng,Đà Nẵng,2024-05-17,9600000
DH00721,Webcam,3,890000,Online,Đồng Nai,2024-05-04,2670000
DH00231,Ổ cứng SSD,3,1450000,Online,Không rõ,2024-12-11,4350000
DH00806,Ổ cứng SSD,2,1450000,Cửa hàng,Đà Nẵng,2024-11-17,2900000
DH00147,Ổ cứng SSD,3,1450000,Online,Hà Nội,2024-09-04,4350000
DH00846,Chuột,1,250000,Online,Khánh Hòa,2024-10-28,250000
DH00799,Tai nghe,2,690000,Online,Đà Nẵng,2024-09-27,1380000
DH00796,Chuột,2,250000,Online,Hà Nội,2024-01-02,500000
DH00087,Màn hình,5,3200000,Online,Đà Nẵng,2024-07-03,16000000
DH00220,Chuột,5,250000,Online,Đồng Nai,2024-07-13,1250000
DH00297,Ổ cứng SSD,5,1450000,Online,Không rõ,2024-11-29,7250000
DH00741,Chuột,4,250000,Online,Bình Dương,2024-10-08,1000000
DH00668,Tai nghe,3,690000,Online,Bình Dương,2024-11-07,2070000
DH00045,Tai nghe,2,690000,Online,Không rõ,2024-10-24,1380000
DH00175,Màn hình,3,3200000,Online,Lâm Đồng,2024-06-10,9600000
DH00302,Bàn phím,2,450000,Cửa hàng,TP. Hồ Chí Minh,2024-07-18,900000
DH00652,Tai nghe,1,690000,Online,Bình Dương,2024-08-08,690000
DH00751,Webcam,4,890000,Online,Đà Nẵng,2024-01-07,3560000
DH00140,Màn hình,5,3200000,Online,Không rõ,2024-07-28,16000000
DH00163,Chuột,5,250000,Online,Đồng Nai,2024-08-01,1250000
DH00347,Chuột,3,250000,Online,Khánh Hòa,2024-05-09,750000
DH00495,Màn hình,1,3200000,Online,Cần Thơ,2024-06-16,3200000
DH00887,Tai nghe,5,690000,Cửa hàng,Cần Thơ,2024-08-12,3450000
DH00711,Bàn phím,4,450000,Online,Đà Nẵng,2024-09-22,1800000
DH00503,Tai nghe,3,690000,Online,Khánh Hòa,2024-10-14,2070000
DH00560,Ổ cứng SSD,4,1450000,Online,Lâm Đồng,2024-05-07,5800000
DH00281,Ổ cứng SSD,5,1450000,Online,Đà Nẵng,2024-08-09,7250000
DH00602,Màn hình,4,3200000,Cửa hàng,Cần Thơ,2024-07-12,12800000
DH00520,Tai nghe,4,690000,Online,Đồng Nai,2024-03-31,2760000
DH00204,Chuột,1,250000,Online,Bình Dương,2024-02-06,250000
DH00010,Màn hình,3,3200000,Online,Lâm Đồng,2024-06-30,9600000
DH00643,Ổ cứng SSD,5,1450000,Cửa hàng,Cần Thơ,2024-09-04,7250000
DH00627,Webcam,2,890000,Online,TP. Hồ Chí Minh,2024-08-04,1780000
DH00263,Webcam,5,890000,Cửa hàng,Hà Nội,2024-03-08,4450000
DH00271,Ổ cứng SSD,3,1450000,Cửa hàng,Đồng Nai,2024-12-10,4350000
DH00764,Ổ cứng SSD,5,1450000,Online,Bình Dương,2024-02-13,7250000
DH00164,Bàn phím,4,450000,Cửa hàng,Không rõ,2024-02-25,1800000
DH00776,Bàn phím,1,450000,Cửa hàng,Hà Nội,2024-07-13,450000
DH00286,Webcam,3,890000,Online,Bình Dương,2024-07-12,2670000
DH00655,Bàn phím,5,450000,Online,Đồng Nai,2024-10-24,2250000
DH00524,Ổ cứng SSD,1,1450000,Online,Đà Nẵng,2024-09-24,1450000
DH00517,Bàn phím,2,450000,Cửa hàng,Bình Dương,2024-12-26,900000
DH00445,Bàn phím,4,450000,Online,Khánh Hòa,2024-03-25,1800000
DH00744,Tai nghe,5,690000,Online,Không rõ,2024-05-19,3450000
DH00340,Ổ cứng SSD,2,1450000,Online,Đồng Nai,2024-10-12,2900000
DH00319,Màn hình,4,3200000,Online,Bình Dương,2024-04-12,12800000
DH00791,Màn hình,2,3200000,Cửa hàng,Hà Nội,2024-11-20,6400000
DH00745,Chuột,1,250000,Online,Khánh Hòa,2024-01-01,250000
DH00100,Tai nghe,3,690000,Cửa hàng,Đồng Nai,2024-07-06,2070000
DH00587,Tai nghe,2,690000,Cửa hàng,Đà Nẵng,2024-01-11,1380000
DH00292,Bàn phím,2,450000,Online,Lâm Đồng,2024-07-01,900000
DH00777,Ổ cứng SSD,1,1450000,Cửa hàng,Đà Nẵng,2024-01-20,1450000
DH00567,Ổ cứng SSD,4,1450000,Online,Đồng Nai,2024-05-31,5800000
DH00433,Màn hình,4,3200000,Online,Cần Thơ,2024-01-30,12800000
DH00877,Màn hình,2,3200000,Cửa hàng,Hà Nội,2024-01-05,6400000
DH00316,Tai nghe,5,690000,Cửa hàng,Lâm Đồng,2024-08-24,3450000
DH00493,Bàn phím,2,450000,Online,Lâm Đồng,2024-03-07,900000
DH00072,Bàn phím,1,450000,Online,TP. Hồ Chí Minh,2024-01-19,450000
DH00167,Chuột,3,250000,Online,Đà Nẵng,2024-04-06,750000
DH00162,Bàn phím,1,450000,Online,Đà Nẵng,2024-05-15,450000
DH00131,Bàn phím,4,450000,Online,Không rõ,2024-09-12,1800000
DH00331,Webcam,3,890000,Online,Khánh Hòa,2024-12-14,2670000
DH00137,Webcam,4,890000,Online,Cần Thơ,2024-05-03,3560000
DH00321,Webcam,5,890000,Cửa hàng,Hà Nội,2024-12-09,4450000
DH00017,Tai nghe,2,690000,Online,Đồng Nai,2024-08-18,1380000
DH00114,Màn hình,5,3200000,Online,Đà Nẵng,2024-08-16,16000000
DH00008,Bàn phím,5,450000,Online,Lâm Đồng,2024-07-19,2250000
DH00196,Bàn phím,1,450000,Online,Hà Nội,2024-09-28,450000
DH00646,Bàn phím,1,450000,Online,Hà Nội,2024-09-24,450000
DH00174,Bàn phím,2,450000,Cửa hàng,TP. Hồ Chí Minh,2024-09-30,900000
DH00807,Chuột,3,250000,Online,TP. Hồ Chí Minh,2024-10-27,750000
DH00295,Màn hình,4,3200000,Cửa hàng,Bình Dương,2024-12-29,12800000
DH00798,Ổ cứng SSD,4,1450000,Cửa hàng,Khánh Hòa,2024-12-11,5800000
DH00729,Tai nghe,3,690000,Online,Cần Thơ,2024-10-08,2070000
DH00612,Bàn phím,3,450000,Online,Hà Nội,2024-08-14,1350000
DH00068,Màn hình,3,3200000,Cửa hàng,Khánh Hòa,2024-03-04,9600000
DH00474,Ổ cứng SSD,5,1450000,Online,Cần Thơ,2024-07-22,7250000
DH00357,Bàn phím,4,450000,Online,Hà Nội,2024-09-07,1800000
DH00892,Ổ cứng SSD,4,1450000,Online,Khánh Hòa,2024-12-28,5800000
DH00391,Webcam,1,890000,Cửa hàng,Khánh Hòa,2024-10-03,890000
DH00573,Ổ cứng SSD,4,1450000,Online,Không rõ,2024-11-04,5800000
DH00778,Tai nghe,3,690000,Online,Cần Thơ,2024-06-21,2070000
DH00723,Tai nghe,1,690000,Cửa hàng,Lâm Đồng,2024-01-02,690000
DH00195,Tai nghe,3,690000,Cửa hàng,Khánh Hòa,2024-04-26,2070000
DH00489,Bàn phím,4,450000,Online,TP. Hồ Chí Minh,2024-06-30,1800000
DH00305,Ổ cứng SSD,5,1450000,Online,Hà Nội,2024-08-16,7250000
DH00818,Webcam,1,890000,Cửa hàng,Hà Nội,2024-11-12,890000
DH00832,Chuột,5,250000,Cửa hàng,Đà Nẵng,2024-04-22,1250000
DH00434,Webcam,5,890000,Online,Lâm Đồng,2024-04-20,4450000
DH00475,Tai nghe,1,690000,Online,Không rõ,2024-03-05,690000
DH00348,Ổ cứng SSD,4,1450000,Online,Bình Dương,2024-07-23,5800000
DH00200,Bàn phím,4,450000,Cửa hàng,Khánh Hòa,2024-01-18,1800000
DH00155,Bàn phím,3,450000,Online,Đồng Nai,2024-08-13,1350000
DH00634,Bàn phím,3,450000,Cửa hàng,Khánh Hòa,2024-01-07,1350000
DH00515,Bàn phím,3,450000,Online,Đà Nẵng,2024-03-08,1350000
DH00004,Màn hình,1,3200000,Online,TP. Hồ Chí Minh,2024-06-14,3200000
DH00378,Màn hình,1,3200000,Online,Hà Nội,2024-11-05,3200000
DH00397,Webcam,1,890000,Online,Cần Thơ,2024-10-16,890000
DH00677,Bàn phím,4,450000,Cửa hàng,TP. Hồ Chí Minh,2024-02-07,1800000
DH00359,Bàn phím,1,450000,Online,Bình Dương,2024-07-16,450000
DH00841,Webcam,4,890000,Online,Khánh Hòa,2024-11-06,3560000
DH00277,Webcam,5,890000,Cửa hàng,Đà Nẵng,2024-06-10,4450000
DH00267,Tai nghe,4,690000,Online,Cần Thơ,2024-05-19,2760000
DH00577,Màn hình,2,3200000,Online,TP. Hồ Chí Minh,2024-05-17,6400000
DH00230,Bàn phím,1,450000,Online,Bình Dương,2024-11-02,450000
DH00863,Webcam,3,890000,Online,Đồng Nai,2024-05-15,2670000
DH00666,Tai nghe,3,690000,Online,Bình Dương,2024-08-02,2070000
DH00374,Ổ cứng SSD,4,1450000,Online,Lâm Đồng,2024-11-03,5800000
DH00552,Webcam,4,890000,Cửa hàng,Đồng Nai,2024-01-24,3560000
DH00569,Webcam,5,890000,Cửa hàng,Lâm Đồng,2024-04-30,4450000
DH00117,Chuột,5,250000,Cửa hàng,Bình Dương,,1250000
DH00223,Chuột,4,250000,Cửa hàng,Cần Thơ,2024-04-17,1000000
DH00459,Màn hình,5,3200000,Cửa hàng,Khánh Hòa,2024-03-17,16000000
DH00201,Bàn phím,1,450000,Online,Hà Nội,2024-11-18,450000
DH00743,Webcam,4,890000,Cửa hàng,Lâm Đồng,2024-08-12,3560000
DH00343,Ổ cứng SSD,3,1450000,Online,Hà Nội,2024-09-04,4350000
DH00753,Ổ cứng SSD,5,1450000,Cửa hàng,Đà Nẵng,2024-07-11,7250000
DH00719,Màn hình,5,3200000,Online,Đồng Nai,2024-12-08,16000000
DH00716,Chuột,1,250000,Online,Hà Nội,2024-02-10,250000
DH00392,Màn hình,4,3200000,Online,Đồng Nai,2024-09-10,12800000
DH00628,Chuột,2,250000,Online,Hà Nội,2024-12-29,500000
DH00518,Ổ cứng SSD,3,1450000,Online,Lâm Đồng,2024-11-26,4350000
DH00480,Chuột,4,250000,Online,Hà Nội,2024-10-11,1000000
DH00035,Webcam,3,890000,Online,Hà Nội,2024-10-22,2670000
DH00616,Ổ cứng SSD,2,1450000,Online,Bình Dương,2024-07-02,2900000
DH00009,Màn hình,4,3200000,Cửa hàng,Bình Dương,2024-08-30,12800000
DH00527,Bàn phím,1,450000,Online,Hà Nội,2024-04-09,450000
DH00320,Tai nghe,2,690000,Online,TP. Hồ Chí Minh,2024-12-05,1380000
DH00441,Bàn phím,5,450000,Cửa hàng,Không rõ,2024-08-18,2250000
DH00526,Màn hình,2,3200000,Cửa hàng,Đà Nẵng,2024-08-15,6400000
DH00833,Bàn phím,5,450000,Cửa hàng,TP. Hồ Chí Minh,2024-12-12,2250000
DH00349,Ổ cứng SSD,1,1450000,Online,Khánh Hòa,2024-05-16,1450000
DH00095,Màn hình,1,3200000,Cửa hàng,Hà Nội,2024-03-17,3200000
DH00544,Ổ cứng SSD,4,1450000,Online,Lâm Đồng,2024-08-08,5800000
DH00641,Webcam,3,890000,Online,Lâm Đồng,2024-07-20,2670000
DH00210,Màn hình,1,3200000,Online,Cần Thơ,2024-01-26,3200000
DH00176,Bàn phím,4,450000,Online,Lâm Đồng,2024-09-30,1800000
DH00481,Tai nghe,5,690000,Online,Hà Nội,2024-03-03,3450000
DH00282,Tai nghe,1,690000,Online,Hà Nội,2024-06-08,690000
DH00107,Ổ cứng SSD,5,1450000,Online,Hà Nội,2024-10-06,7250000
DH00664,Ổ cứng SSD,5,1450000,Online,TP. Hồ Chí Minh,2024-10-24,7250000
DH00252,Tai nghe,4,690000,Online,Bình Dương,2024-08-21,2760000
DH00868,Ổ cứng SSD,5,1450000,Online,Đà Nẵng,2024-05-04,7250000
DH00390,Ổ cứng SSD,2,1450000,Cửa hàng,Bình Dương,2024-12-25,2900000
DH00626,Ổ cứng SSD,3,1450000,Online,Đồng Nai,2024-11-29,4350000
DH00328,Màn hình,2,3200000,Online,TP. Hồ Chí Minh,2024-09-11,6400000
DH00013,Webcam,4,890000,Cửa hàng,Bình Dương,2024-02-17,3560000
DH00746,Webcam,4,890000,Online,Đồng Nai,2024-11-28,3560000
DH00566,Webcam,4,890000,Cửa hàng,Hà Nội,2024-03-08,3560000
DH00657,Chuột,1,250000,Online,TP. Hồ Chí Minh,2024-10-16,250000
DH00214,Tai nghe,4,690000,Cửa hàng,Cần Thơ,2024-06-16,2760000
DH00217,Webcam,5,890000,Online,Đồng Nai,2024-04-05,4450000
DH00613,Ổ cứng SSD,1,1450000,Online,Lâm Đồng,2024-05-30,1450000
DH00423,Màn hình,5,3200000,Online,TP. Hồ Chí Minh,2024-06-21,16000000
DH00568,Tai nghe,3,690000,Online,Bình Dương,2024-08-16,2070000
DH00422,Chuột,3,250000,Cửa hàng,Bình Dương,2024-12-22,750000
DH00069,Webcam,1,890000,Cửa hàng,Đồng Nai,2024-09-21,890000
DH00554,Webcam,2,890000,Cửa hàng,Lâm Đồng,2024-10-30,1780000
DH00086,Bàn phím,4,450000,Online,Không rõ,2024-10-12,1800000
DH00702,Chuột,5,250000,Online,Bình Dương,2024-08-30,1250000
DH00467,Bàn phím,2,450000,Online,Lâm Đồng,2024-12-23,900000
DH00430,Webcam,2,890000,Online,Cần Thơ,2024-03-31,1780000
DH00418,Màn hình,3,3200000,Online,TP. Hồ Chí Minh,2024-07-15,9600000
DH00893,Chuột,5,250000,Online,Cần Thơ,2024-02-08,1250000
DH00197,Ổ cứng SSD,5,1450000,Cửa hàng,Lâm Đồng,2024-03-17,7250000
DH00773,Tai nghe,5,690000,Online,TP. Hồ Chí Minh,2024-02-23,3450000
DH00285,Ổ cứng SSD,5,1450000,Online,Cần Thơ,2024-06-18,7250000
DH00112,Chuột,1,250000,Cửa hàng,TP. Hồ Chí Minh,2024-04-07,250000
DH00545,Ổ cứng SSD,2,1450000,Online,Không rõ,2024-11-09,2900000
DH00810,Bàn phím,5,450000,Online,Bình Dương,2024-02-12,2250000
DH00836,Webcam,3,890000,Cửa hàng,Đà Nẵng,2024-10-08,2670000
DH00500,Màn hình,5,3200000,Cửa hàng,Đồng Nai,2024-08-12,16000000
DH00291,Bàn phím,1,450000,Cửa hàng,Bình Dương,2024-05-31,450000
DH00389,Bàn phím,1,450000,Cửa hàng,Không rõ,2024-11-15,450000
DH00360,Webcam,1,890000,Online,Cần Thơ,2024-02-25,890000
DH00407,Tai nghe,4,690000,Online,Khánh Hòa,2024-09-27,2760000
DH00365,Webcam,4,890000,Online,Đồng Nai,2024-05-31,3560000
DH00525,Ổ cứng SSD,3,1450000,Online,Cần Thơ,2024-11-21,4350000
DH00695,Chuột,2,250000,Cửa hàng,Đà Nẵng,2024-10-13,500000
DH00113,Webcam,5,890000,Online,Lâm Đồng,2024-07-08,4450000
DH00103,Webcam,4,890000,Online,Đồng Nai,2024-02-18,3560000
DH00415,Tai nghe,3,690000,Online,Hà Nội,2024-12-26,2070000
DH00590,Ổ cứng SSD,2,1450000,Online,Bình Dương,2024-06-12,2900000
DH00191,Webcam,2,890000,Cửa hàng,TP. Hồ Chí Minh,2024-07-25,1780000
DH00828,Bàn phím,3,450000,Online,Bình Dương,2024-05-02,1350000
DH00639,Webcam,1,890000,Online,Đồng Nai,2024-04-20,890000
DH00053,Webcam,4,890000,Online,Không rõ,2024-10-26,3560000
DH00029,Màn hình,4,3200000,Online,Cần Thơ,2024-09-14,12800000
DH00066,Ổ cứng SSD,1,1450000,Cửa hàng,Bình Dương,2024-06-23,1450000
DH00713,Bàn phím,2,450000,Online,Cần Thơ,2024-10-07,900000
DH00816,Tai nghe,4,690000,Cửa hàng,Đà Nẵng,2024-03-02,2760000
DH00595,Màn hình,1,3200000,Online,Hà Nội,2024-01-26,3200000
DH00309,Tai nghe,2,690000,Cửa hàng,Đồng Nai,2024-06-16,1380000
DH00387,Tai nghe,4,690000,Online,Đà Nẵng,2024-09-26,2760000
DH00355,Bàn phím,5,450000,Cửa hàng,Cần Thơ,2024-07-20,2250000
DH00734,Webcam,3,890000,Cửa hàng,TP. Hồ Chí Minh,2024-08-04,2670000
DH00160,Bàn phím,3,450000,Online,Không rõ,2024-03-04,1350000
DH00187,Bàn phím,3,450000,Online,TP. Hồ Chí Minh,2024-10-11,1350000
DH00245,Webcam,4,890000,Cửa hàng,Đà Nẵng,2024-10-05,3560000
DH00727,Màn hình,3,3200000,Online,Lâm Đồng,2024-11-11,9600000
DH00835,Ổ cứng SSD,2,1450000,Online,Khánh Hòa,2024-08-15,2900000
DH00158,Webcam,2,890000,Online,Hà Nội,2024-07-14,1780000
DH00127,Webcam,2,890000,Online,TP. Hồ Chí Minh,2024-04-01,1780000
DH00323,Ổ cứng SSD,4,1450000,Online,Đà Nẵng,2024-09-20,5800000
DH00724,Webcam,5,890000,Cửa hàng,TP. Hồ Chí Minh,2024-12-27,4450000
DH00213,Chuột,1,250000,Cửa hàng,Không rõ,2024-12-03,250000
DH00104,Màn hình,5,3200000,Online,Đà Nẵng,,16000000
DH00630,Tai nghe,2,690000,Cửa hàng,Cần Thơ,2024-04-27,1380000
DH00521,Ổ cứng SSD,3,1450000,Online,Không rõ,2024-05-21,4350000
DH00827,Webcam,2,890000,Cửa hàng,TP. Hồ Chí Minh,2024-04-30,1780000
DH00229,Bàn phím,3,450000,Online,TP. Hồ Chí Minh,2024-09-19,1350000
DH00850,Tai nghe,3,690000,Online,Cần Thơ,2024-06-30,2070000
DH00183,Bàn phím,1,450000,Cửa hàng,TP. Hồ Chí Minh,2024-08-26,450000
DH00648,Chuột,3,250000,Cửa hàng,Đồng Nai,2024-12-14,750000
DH00672,Màn hình,1,3200000,Online,Lâm Đồng,2024-03-26,3200000
DH00198,Màn hình,5,3200000,Online,Hà Nội,2024-10-18,16000000
DH00463,Webcam,3,890000,Cửa hàng,Cần Thơ,2024-03-11,2670000
DH00452,Webcam,5,890000,Online,Đồng Nai,2024-03-13,4450000
DH00884,Bàn phím,2,450000,Online,Đồng Nai,2024-12-06,900000
DH00831,Ổ cứng SSD,4,1450000,Cửa hàng,Lâm Đồng,2024-09-15,5800000
DH00815,Tai nghe,4,690000,Cửa hàng,Hà Nội,2024-03-30,2760000
DH00487,Màn hình,2,3200000,Online,Hà Nội,2024-09-26,6400000
DH00051,Bàn phím,5,450000,Cửa hàng,Không rõ,2024-03-22,2250000
DH00416,Màn hình,1,3200000,Online,Khánh Hòa,2024-11-09,3200000
DH00367,Ổ cứng SSD,5,1450000,Online,Lâm Đồng,2024-07-15,7250000
DH00535,Tai nghe,3,690000,Cửa hàng,Lâm Đồng,2024-05-10,2070000
DH00235,Bàn phím,5,450000,Online,TP. Hồ Chí Minh,2024-04-23,2250000
DH00490,Bàn phím,5,450000,Online,TP. Hồ Chí Minh,2024-01-27,2250000
DH00582,Màn hình,2,3200000,Cửa hàng,Cần Thơ,2024-01-21,6400000
DH00402,Webcam,5,890000,Online,Khánh Hòa,2024-04-29,4450000
DH00439,Webcam,5,890000,Cửa hàng,Lâm Đồng,2024-06-07,4450000
DH00528,Tai nghe,5,690000,Cửa hàng,Cần Thơ,2024-12-26,3450000
DH00769,Webcam,2,890000,Cửa hàng,Lâm Đồng,2024-09-26,1780000
DH00369,Bàn phím,1,450000,Online,Lâm Đồng,2024-09-05,450000
DH00152,Màn hình,1,3200000,Online,Đồng Nai,2024-02-21,3200000
DH00875,Màn hình,1,3200000,Online,Bình Dương,2024-11-24,3200000
DH00781,Webcam,4,890000,Cửa hàng,Đồng Nai,2024-02-03,3560000
DH00030,Bàn phím,3,450000,Cửa hàng,Lâm Đồng,2024-12-10,1350000
DH00707,Màn hình,1,3200000,Online,Bình Dương,2024-03-20,3200000
DH00239,Ổ cứng SSD,1,1450000,Cửa hàng,Lâm Đồng,2024-10-30,1450000
DH00874,Tai nghe,2,690000,Cửa hàng,Hà Nội,2024-10-29,1380000
DH00324,Bàn phím,2,450000,Online,Hà Nội,2024-12-26,900000
DH00629,Webcam,5,890000,Cửa hàng,Cần Thơ,,4450000
DH00864,Ổ cứng SSD,5,1450000,Online,TP. Hồ Chí Minh,2024-07-30,7250000
DH00787,Bàn phím,3,450000,Cửa hàng,Khánh Hòa,2024-03-16,1350000
DH00380,Chuột,4,250000,Online,Khánh Hòa,2024-09-14,1000000
DH00559,Tai nghe,1,690000,Online,Đồng Nai,2024-05-08,690000
DH00516,Bàn phím,4,450000,Online,Hà Nội,2024-01-18,1800000
DH00031,Ổ cứng SSD,1,1450000,Online,Hà Nội,2024-12-04,1450000
DH00667,Bàn phím,1,450000,Online,Bình Dương,2024-04-28,450000
DH00351,Tai nghe,5,690000,Cửa hàng,Lâm Đồng,2024-05-21,3450000
DH00870,Màn hình,3,3200000,Cửa hàng,Lâm Đồng,2024-02-11,9600000
DH00698,Bàn phím,5,450000,Cửa hàng,Đà Nẵng,2024-01-28,2250000
DH00052,Webcam,1,890000,Cửa hàng,Đà Nẵng,2024-10-03,890000
DH00508,Màn hình,4,3200000,Online,Bình Dương,2024-09-17,12800000
DH00037,Ổ cứng SSD,2,1450000,Online,Đà Nẵng,2024-07-12,2900000
DH00610,Màn hình,5,3200000,Cửa hàng,Bình Dương,2024-01-29,16000000
DH00079,Chuột,3,250000,Cửa hàng,Cần Thơ,2024-04-19,750000
DH00014,Chuột,3,250000,Cửa hàng,Cần Thơ,2024-11-13,750000
DH00676,Webcam,3,890000,Cửa hàng,Không rõ,2024-02-02,2670000
DH00059,Ổ cứng SSD,4,1450000,Cửa hàng,Lâm Đồng,2024-02-29,5800000
DH00576,Bàn phím,5,450000,Cửa hàng,Lâm Đồng,2024-11-28,2250000
DH00234,Webcam,5,890000,Online,Khánh Hòa,2024-05-02,4450000
DH00708,Tai nghe,2,690000,Cửa hàng,Không rõ,2024-01-16,1380000
DH00797,Tai nghe,1,690000,Online,Đà Nẵng,2024-08-18,690000
DH00413,Bàn phím,5,450000,Online,TP. Hồ Chí Minh,2024-05-25,2250000
DH00479,Màn hình,2,3200000,Online,Đồng Nai,2024-08-23,6400000
DH00194,Tai nghe,1,690000,Cửa hàng,TP. Hồ Chí Minh,2024-09-03,690000
DH00385,Chuột,4,250000,Online,Bình Dương,2024-05-09,1000000
DH00405,Bàn phím,3,450000,Online,Hà Nội,2024-02-29,1350000
DH00591,Bàn phím,1,450000,Online,Đồng Nai,2024-06-14,450000
DH00046,Tai nghe,3,690000,Online,Lâm Đồng,2024-04-28,2070000
